date,close,weighted_signal,signal,action,opinion,position
2022-01-03,170.4044952392578,0.0,0,HOLD,관망,0
2022-01-04,167.52200317382812,0.0,0,HOLD,관망,0
2022-01-05,164.35699462890625,0.29036184409359966,1,BUY,매수,1
2022-01-06,163.25399780273438,0.29036184409359966,1,HOLD,관망,1
2022-01-07,162.5540008544922,0.29036184409359966,1,HOLD,관망,1
2022-01-10,161.48599243164062,0.29036184409359966,1,HOLD,관망,1
2022-01-11,165.36199951171875,0.0,0,HOLD,관망,1
2022-01-12,165.20700073242188,0.0,0,HOLD,관망,1
2022-01-13,161.21400451660156,0.0,0,HOLD,관망,1
2022-01-14,162.13800048828125,0.0,0,HOLD,관망,1
2022-01-18,158.91749572753906,0.29036184409359966,1,HOLD,관망,1
2022-01-19,156.2989959716797,0.29036184409359966,1,HOLD,관망,1
2022-01-20,151.66749572753906,1.0,1,HOLD,관망,1
2022-01-21,142.64300537109375,1.0,1,HOLD,관망,1
2022-01-24,144.54400634765625,1.0,1,HOLD,관망,1
2022-01-25,139.98599243164062,1.0,1,HOLD,관망,1
2022-01-26,138.87249755859375,1.0,1,HOLD,관망,1
2022-01-27,139.6374969482422,0.7096381559064003,1,HOLD,관망,1
2022-01-28,143.97799682617188,0.0,0,HOLD,관망,1
2022-01-31,149.57350158691406,0.0,0,HOLD,관망,1
2022-02-01,151.19349670410156,0.0,0,HOLD,관망,1
2022-02-02,150.6125030517578,0.0,0,HOLD,관망,1
2022-02-03,138.8455047607422,0.0,0,HOLD,관망,1
2022-02-04,157.63949584960938,0.0,0,HOLD,관망,1
2022-02-07,157.9355010986328,0.0,0,HOLD,관망,1
2022-02-08,161.4134979248047,0.0,0,HOLD,관망,1
2022-02-09,161.1894989013672,0.0,0,HOLD,관망,1
2022-02-10,159.0034942626953,0.0,0,HOLD,관망,1
2022-02-11,153.2935028076172,0.0,0,HOLD,관망,1
2022-02-14,155.16700744628906,0.0,0,HOLD,관망,1
2022-02-15,156.510498046875,0.0,0,HOLD,관망,1
2022-02-16,158.10049438476562,0.0,0,HOLD,관망,1
2022-02-17,154.65249633789062,0.0,0,HOLD,관망,1
2022-02-18,152.60150146484375,0.0,0,HOLD,관망,1
2022-02-22,150.19749450683594,0.0,0,HOLD,관망,1
2022-02-23,144.82699584960938,0.0,0,HOLD,관망,1
2022-02-24,151.35800170898438,0.0,0,HOLD,관망,1
2022-02-25,153.7884979248047,0.0,0,HOLD,관망,1
2022-02-28,153.56300354003906,0.0,0,HOLD,관망,1
2022-03-01,151.14199829101562,0.0,0,HOLD,관망,1
2022-03-02,152.05250549316406,0.0,0,HOLD,관망,1
2022-03-03,147.89849853515625,0.0,0,HOLD,관망,1
2022-03-04,145.64100646972656,0.0,0,HOLD,관망,1
2022-03-07,137.4530029296875,0.29036184409359966,1,HOLD,관망,1
2022-03-08,136.01449584960938,0.29036184409359966,1,HOLD,관망,1
2022-03-09,139.2790069580078,0.0,0,HOLD,관망,1
2022-03-10,146.8175048828125,0.0,0,HOLD,관망,1
2022-03-11,145.52450561523438,0.0,0,HOLD,관망,1
2022-03-14,141.85299682617188,0.0,0,HOLD,관망,1
2022-03-15,147.3665008544922,0.0,0,HOLD,관망,1
2022-03-16,153.10400390625,0.0,0,HOLD,관망,1
2022-03-17,157.23899841308594,0.0,0,HOLD,관망,1
2022-03-18,161.25050354003906,-0.29036184409359966,-1,SELL,매도,0
2022-03-21,161.4915008544922,0.0,0,HOLD,관망,0
2022-03-22,164.88900756835938,0.0,0,HOLD,관망,0
2022-03-23,163.4080047607422,0.0,0,HOLD,관망,0
2022-03-24,163.64950561523438,0.0,0,HOLD,관망,0
2022-03-25,164.77349853515625,-0.7096381559064003,-1,HOLD,관망,0
2022-03-28,168.99049377441406,-0.7096381559064003,-1,HOLD,관망,0
2022-03-29,169.31500244140625,-0.7096381559064003,-1,HOLD,관망,0
2022-03-30,166.30099487304688,-0.7096381559064003,-1,HOLD,관망,0
2022-03-31,162.99749755859375,-0.7096381559064003,-1,HOLD,관망,0
2022-04-01,163.55999755859375,-0.7096381559064003,-1,HOLD,관망,0
2022-04-04,168.34649658203125,-0.7096381559064003,-1,HOLD,관망,0
2022-04-05,164.05499267578125,0.0,0,HOLD,관망,0
2022-04-06,158.75599670410156,0.0,0,HOLD,관망,0
2022-04-07,157.7845001220703,0.0,0,HOLD,관망,0
2022-04-08,154.4604949951172,0.0,0,HOLD,관망,0
2022-04-11,151.1219940185547,0.0,0,HOLD,관망,0
2022-04-12,150.78750610351562,0.0,0,HOLD,관망,0
2022-04-13,155.54100036621094,0.0,0,HOLD,관망,0
2022-04-14,151.7064971923828,0.0,0,HOLD,관망,0
2022-04-18,152.78500366210938,0.0,0,HOLD,관망,0
2022-04-19,158.11549377441406,0.0,0,HOLD,관망,0
2022-04-20,153.9980010986328,0.0,0,HOLD,관망,0
2022-04-21,148.29600524902344,0.0,0,HOLD,관망,0
2022-04-22,144.35000610351562,0.0,0,HOLD,관망,0
2022-04-25,146.07400512695312,0.0,0,HOLD,관망,0
2022-04-26,139.39100646972656,0.29036184409359966,1,BUY,매수,1
2022-04-27,138.16700744628906,0.0,0,HOLD,관망,1
2022-04-28,144.59649658203125,0.0,0,HOLD,관망,1
2022-04-29,124.28150177001953,0.29036184409359966,1,HOLD,관망,1
2022-05-02,124.5,0.29036184409359966,1,HOLD,관망,1
2022-05-03,124.25350189208984,0.0,0,HOLD,관망,1
2022-05-04,125.92849731445312,0.0,0,HOLD,관망,1
2022-05-05,116.40699768066406,1.0,1,HOLD,관망,1
2022-05-06,114.77249908447266,0.7096381559064003,1,HOLD,관망,1
2022-05-09,108.78900146484375,0.7096381559064003,1,HOLD,관망,1
2022-05-10,108.85900115966797,0.7096381559064003,1,HOLD,관망,1
2022-05-11,105.37200164794922,0.7096381559064003,1,HOLD,관망,1
2022-05-12,106.93049621582031,0.7096381559064003,1,HOLD,관망,1
2022-05-13,113.05500030517578,0.7096381559064003,1,HOLD,관망,1
2022-05-16,110.81050109863281,0.0,0,HOLD,관망,1
2022-05-17,115.36849975585938,0.0,0,HOLD,관망,1
2022-05-18,107.11250305175781,0.7096381559064003,1,HOLD,관망,1
2022-05-19,107.31900024414062,0.0,0,HOLD,관망,1
2022-05-20,107.59100341796875,0.0,0,HOLD,관망,1
2022-05-23,107.55699920654297,0.0,0,HOLD,관망,1
2022-05-24,104.0999984741211,0.0,0,HOLD,관망,1
2022-05-25,106.7750015258789,0.0,0,HOLD,관망,1
2022-05-26,111.07749938964844,0.0,0,HOLD,관망,1
2022-05-27,115.14649963378906,0.0,0,HOLD,관망,1
2022-05-31,120.20950317382812,0.0,0,HOLD,관망,1
2022-06-01,121.68399810791016,0.0,0,HOLD,관망,1
2022-06-02,125.51100158691406,-0.29036184409359966,-1,SELL,매도,0
2022-06-03,122.3499984741211,0.0,0,HOLD,관망,0
2022-06-06,124.79000091552734,0.0,0,HOLD,관망,0
2022-06-07,123.0,0.0,0,HOLD,관망,0
2022-06-08,121.18000030517578,-0.7096381559064003,-1,HOLD,관망,0
2022-06-09,116.1500015258789,0.0,0,HOLD,관망,0
2022-06-10,109.6500015258789,0.0,0,HOLD,관망,0
2022-06-13,103.66999816894531,0.0,0,HOLD,관망,0
2022-06-14,102.30999755859375,0.0,0,HOLD,관망,0
2022-06-15,107.66999816894531,0.0,0,HOLD,관망,0
2022-06-16,103.66000366210938,0.0,0,HOLD,관망,0
2022-06-17,106.22000122070312,0.0,0,HOLD,관망,0
2022-06-21,108.68000030517578,0.0,0,HOLD,관망,0
2022-06-22,108.94999694824219,0.0,0,HOLD,관망,0
2022-06-23,112.44000244140625,0.0,0,HOLD,관망,0
2022-06-24,116.45999908447266,0.0,0,HOLD,관망,0
2022-06-27,113.22000122070312,0.0,0,HOLD,관망,0
2022-06-28,107.4000015258789,0.0,0,HOLD,관망,0
2022-06-29,108.91999816894531,0.0,0,HOLD,관망,0
2022-06-30,106.20999908447266,0.0,0,HOLD,관망,0
2022-07-01,109.55999755859375,0.0,0,HOLD,관망,0
2022-07-05,113.5,0.0,0,HOLD,관망,0
2022-07-06,114.33000183105469,0.0,0,HOLD,관망,0
2022-07-07,116.33000183105469,0.0,0,HOLD,관망,0
2022-07-08,115.54000091552734,0.0,0,HOLD,관망,0
2022-07-11,111.75,0.0,0,HOLD,관망,0
2022-07-12,109.22000122070312,0.0,0,HOLD,관망,0
2022-07-13,110.4000015258789,0.0,0,HOLD,관망,0
2022-07-14,110.62999725341797,0.0,0,HOLD,관망,0
2022-07-15,113.55000305175781,0.0,0,HOLD,관망,0
2022-07-18,113.76000213623047,0.0,0,HOLD,관망,0
2022-07-19,118.20999908447266,0.0,0,HOLD,관망,0
2022-07-20,122.7699966430664,-1.0,-1,HOLD,관망,0
2022-07-21,124.62999725341797,-1.0,-1,HOLD,관망,0
2022-07-22,122.41999816894531,-0.7096381559064003,-1,HOLD,관망,0
2022-07-25,121.13999938964844,0.0,0,HOLD,관망,0
2022-07-26,114.80999755859375,0.0,0,HOLD,관망,0
2022-07-27,120.97000122070312,0.0,0,HOLD,관망,0
2022-07-28,122.27999877929688,0.0,0,HOLD,관망,0
2022-07-29,134.9499969482422,-1.0,-1,HOLD,관망,0
2022-08-01,135.38999938964844,-1.0,-1,HOLD,관망,0
2022-08-02,134.16000366210938,-0.7096381559064003,-1,HOLD,관망,0
2022-08-03,139.52000427246094,-1.0,-1,HOLD,관망,0
2022-08-04,142.57000732421875,-1.0,-1,HOLD,관망,0
2022-08-05,140.8000030517578,-0.7096381559064003,-1,HOLD,관망,0
2022-08-08,139.41000366210938,-0.7096381559064003,-1,HOLD,관망,0
2022-08-09,137.8300018310547,0.0,0,HOLD,관망,0
2022-08-10,142.69000244140625,0.0,0,HOLD,관망,0
2022-08-11,140.63999938964844,0.0,0,HOLD,관망,0
2022-08-12,143.5500030517578,-0.7096381559064003,-1,HOLD,관망,0
2022-08-15,143.17999267578125,-0.7096381559064003,-1,HOLD,관망,0
2022-08-16,144.77999877929688,-0.7096381559064003,-1,HOLD,관망,0
2022-08-17,142.10000610351562,-0.7096381559064003,-1,HOLD,관망,0
2022-08-18,142.3000030517578,0.0,0,HOLD,관망,0
2022-08-19,138.22999572753906,0.0,0,HOLD,관망,0
