date,close,weighted_signal,signal,action,opinion,position
2022-01-03,144.9915008544922,0.0,0,HOLD,관망,0
2022-01-04,144.39950561523438,0.0,0,HOLD,관망,0
2022-01-05,137.77499389648438,-0.43264861470770455,-1,HOLD,관망,0
2022-01-06,137.74749755859375,0.21521779799843224,1,BUY,매수,1
2022-01-07,137.01699829101562,0.21521779799843224,1,HOLD,관망,1
2022-01-10,138.66949462890625,0.0,0,HOLD,관망,1
2022-01-11,139.73599243164062,0.0,0,HOLD,관망,1
2022-01-12,141.4304962158203,0.0,0,HOLD,관망,1
2022-01-13,138.58700561523438,0.0,0,HOLD,관망,1
2022-01-14,139.48049926757812,0.0,0,HOLD,관망,1
2022-01-18,135.9980010986328,0.0,0,HOLD,관망,1
2022-01-19,135.1165008544922,0.0,0,HOLD,관망,1
2022-01-20,133.3074951171875,0.0,0,HOLD,관망,1
2022-01-21,130.35150146484375,0.21521779799843224,1,HOLD,관망,1
2022-01-24,130.8040008544922,0.0,0,HOLD,관망,1
2022-01-25,126.93499755859375,0.21521779799843224,1,HOLD,관망,1
2022-01-26,129.23300170898438,0.0,0,HOLD,관망,1
2022-01-27,129.0050048828125,0.0,0,HOLD,관망,1
2022-01-28,133.3509979248047,0.0,0,HOLD,관망,1
2022-01-31,135.30349731445312,0.0,0,HOLD,관망,1
2022-02-01,137.6439971923828,0.0,0,HOLD,관망,1
2022-02-02,148.0,-0.21521779799843224,-1,SELL,매도,0
2022-02-03,143.08999633789062,0.0,0,HOLD,관망,0
2022-02-04,143.29299926757812,0.0,0,HOLD,관망,0
2022-02-07,139.2010040283203,0.0,0,HOLD,관망,0
2022-02-08,139.3990020751953,0.0,0,HOLD,관망,0
2022-02-09,141.5919952392578,0.0,0,HOLD,관망,0
2022-02-10,138.6199951171875,0.0,0,HOLD,관망,0
2022-02-11,134.28250122070312,0.0,0,HOLD,관망,0
2022-02-14,135.5260009765625,0.0,0,HOLD,관망,0
2022-02-15,136.60850524902344,0.0,0,HOLD,관망,0
2022-02-16,137.73800659179688,0.0,0,HOLD,관망,0
2022-02-17,132.53900146484375,0.0,0,HOLD,관망,0
2022-02-18,130.4029998779297,0.0,0,HOLD,관망,0
2022-02-22,129.81350708007812,0.0,0,HOLD,관망,0
2022-02-23,127.58799743652344,0.0,0,HOLD,관망,0
2022-02-24,132.6909942626953,0.0,0,HOLD,관망,0
2022-02-25,134.45950317382812,0.0,0,HOLD,관망,0
2022-02-28,135.0570068359375,0.0,0,HOLD,관망,0
