date,close,weighted_signal,signal,action,opinion,position
2022-01-03,338.5400085449219,0.41995134507774173,1,BUY,매수,1
2022-01-04,336.5299987792969,0.0,0,HOLD,관망,1
2022-01-05,324.1700134277344,0.0,0,HOLD,관망,1
2022-01-06,332.4599914550781,0.0,0,HOLD,관망,1
2022-01-07,331.7900085449219,0.0,0,HOLD,관망,1
2022-01-10,328.07000732421875,0.0,0,HOLD,관망,1
2022-01-11,334.3699951171875,0.0,0,HOLD,관망,1
2022-01-12,333.260009765625,0.0,0,HOLD,관망,1
2022-01-13,326.4800109863281,0.0,0,HOLD,관망,1
2022-01-14,331.8999938964844,0.0,0,HOLD,관망,1
2022-01-18,318.1499938964844,0.25931889532877334,1,HOLD,관망,1
2022-01-19,319.5899963378906,0.0,0,HOLD,관망,1
2022-01-20,316.55999755859375,0.25931889532877334,1,HOLD,관망,1
2022-01-21,303.1700134277344,0.39937546162817755,1,HOLD,관망,1
2022-01-24,308.7099914550781,0.25931889532877334,1,HOLD,관망,1
2022-01-25,300.1499938964844,-0.02057588344956418,0,HOLD,관망,1
2022-01-26,294.6300048828125,0.25931889532877334,1,HOLD,관망,1
2022-01-27,294.6400146484375,0.39937546162817755,1,HOLD,관망,1
2022-01-28,301.7099914550781,0.0,0,HOLD,관망,1
2022-01-31,313.260009765625,0.0,0,HOLD,관망,1
2022-02-01,319.0,0.0,0,HOLD,관망,1
2022-02-02,323.0,0.0,0,HOLD,관망,1
2022-02-03,237.75999450683594,0.39937546162817755,1,HOLD,관망,1
2022-02-04,237.08999633789062,0.39937546162817755,1,HOLD,관망,1
2022-02-07,224.91000366210938,0.39937546162817755,1,HOLD,관망,1
2022-02-08,220.17999267578125,0.39937546162817755,1,HOLD,관망,1
2022-02-09,232.0,0.39937546162817755,1,HOLD,관망,1
2022-02-10,228.07000732421875,0.14005656629940422,0,HOLD,관망,1
2022-02-11,219.5500030517578,0.14005656629940422,0,HOLD,관망,1
2022-02-14,217.6999969482422,0.14005656629940422,0,HOLD,관망,1
2022-02-15,221.0,0.14005656629940422,0,HOLD,관망,1
2022-02-16,216.5399932861328,0.14005656629940422,0,HOLD,관망,1
2022-02-17,207.7100067138672,0.14005656629940422,0,HOLD,관망,1
2022-02-18,206.16000366210938,0.14005656629940422,0,HOLD,관망,1
2022-02-22,202.0800018310547,0.14005656629940422,0,HOLD,관망,1
2022-02-23,198.4499969482422,0.14005656629940422,0,HOLD,관망,1
2022-02-24,207.60000610351562,0.0,0,HOLD,관망,1
2022-02-25,210.47999572753906,0.0,0,HOLD,관망,1
2022-02-28,211.02999877929688,0.0,0,HOLD,관망,1
2022-03-01,203.49000549316406,0.0,0,HOLD,관망,1
2022-03-02,208.11000061035156,0.0,0,HOLD,관망,1
2022-03-03,202.97000122070312,0.0,0,HOLD,관망,1
2022-03-04,200.05999755859375,0.0,0,HOLD,관망,1
2022-03-07,187.47000122070312,0.14005656629940422,0,HOLD,관망,1
2022-03-08,190.2899932861328,0.14005656629940422,0,HOLD,관망,1
2022-03-09,198.5,0.0,0,HOLD,관망,1
2022-03-10,195.2100067138672,0.0,0,HOLD,관망,1
2022-03-11,187.61000061035156,0.0,0,HOLD,관망,1
2022-03-14,186.6300048828125,0.0,0,HOLD,관망,1
2022-03-15,192.02999877929688,0.0,0,HOLD,관망,1
2022-03-16,203.6300048828125,0.0,0,HOLD,관망,1
2022-03-17,207.83999633789062,0.0,0,HOLD,관망,1
2022-03-18,216.49000549316406,0.0,0,HOLD,관망,1
2022-03-21,211.49000549316406,0.0,0,HOLD,관망,1
2022-03-22,216.64999389648438,0.0,0,HOLD,관망,1
2022-03-23,213.4600067138672,0.0,0,HOLD,관망,1
2022-03-24,219.57000732421875,0.0,0,HOLD,관망,1
2022-03-25,221.82000732421875,-0.14005656629940422,0,HOLD,관망,1
2022-03-28,223.58999633789062,-0.14005656629940422,0,HOLD,관망,1
2022-03-29,229.86000061035156,-0.39937546162817755,-1,SELL,매도,0
2022-03-30,227.85000610351562,-0.14005656629940422,0,HOLD,관망,0
2022-03-31,222.36000061035156,-0.14005656629940422,0,HOLD,관망,0
2022-04-01,224.85000610351562,-0.14005656629940422,0,HOLD,관망,0
2022-04-04,233.88999938964844,-0.14005656629940422,0,HOLD,관망,0
2022-04-05,231.83999633789062,0.2798947787783375,1,BUY,매수,1
2022-04-06,223.3000030517578,0.0,0,HOLD,관망,1
2022-04-07,222.9499969482422,0.0,0,HOLD,관망,1
2022-04-08,222.3300018310547,0.0,0,HOLD,관망,1
