ticker,set,model_mape_pct,model_rmse_lr,baseline_mape_pct,baseline_rmse_lr,mape_improvement_pct,blend,c_mu5,c_mu20,c_wsig_vol,c_rsi_vol,c_rev20
AAPL,valid,0.9499835145765985,0.012853606758127543,0.9435866040107788,0.012902918897532398,-0.006396910565819702,0.35,1.5,0.25,0.0,0.0,1.0
AAPL,test,1.1671140704872822,0.01579294514789291,1.17414555960706,0.015865695820690688,0.007031489119777801,0.35,1.5,0.25,0.0,0.0,1.0
MSFT,valid,0.9815947736109849,0.012814200438956416,0.9963085376621005,0.012853220169241411,0.014713764051115574,0.5,0.25,0.25,0.0,1.0,1.0
MSFT,test,1.501227070227902,0.024246355807769283,1.486388451332205,0.023901281438967015,-0.014838618895697042,0.5,0.25,0.25,0.0,1.0,1.0
AMZN,valid,1.5569274828612811,0.021749299470233716,1.5623249427741224,0.021198403630487913,0.00539745991284124,1.0,1.5,1.5,1.0,0.5,1.0
AMZN,test,1.5147662217573263,0.020023926670233894,1.4751281420151676,0.02017286890967828,-0.039638079742158716,1.0,1.5,1.5,1.0,0.5,1.0
GOOGL,valid,1.6270543539656523,0.020832697500006953,1.6325591788241538,0.020718999434785727,0.005504824858501456,0.35,1.5,0.25,1.0,0.0,1.0
GOOGL,test,1.1072317196829304,0.014124509134316678,1.1074631524331384,0.014196182986582663,0.0002314327502079827,0.35,1.5,0.25,1.0,0.0,1.0
META,valid,1.4889044269160774,0.022705431996512548,1.5290435039765384,0.023009694229693727,0.04013907706046105,0.7,0.25,1.0,0.0,1.0,0.5
META,test,1.549561527071956,0.02137699086852241,1.4884296056025723,0.020955348090040807,-0.06113192146938373,0.7,0.25,1.0,0.0,1.0,0.5
NVDA,valid,1.9737251321445017,0.025717873360282667,1.9737251321445017,0.025717873360282667,0.0,0.0,0.25,0.25,0.0,0.0,0.0
NVDA,test,1.704494140889166,0.022427922778343965,1.704494140889166,0.022427922778343965,0.0,0.0,0.25,0.25,0.0,0.0,0.0
TSLA,valid,2.2767393802563114,0.02854535915476066,2.2545691681392555,0.028201709694985946,-0.022170212117055943,0.5,0.25,0.25,2.0,0.0,1.0
TSLA,test,1.9527472053636121,0.023678148331691712,1.9251501044822885,0.023314571092537564,-0.02759710088132361,0.5,0.25,0.25,2.0,0.0,1.0
