date,close,weighted_signal,signal,action,opinion,position
2022-01-03,30.121000289916992,0.0,0,HOLD,관망,0
2022-01-04,29.290000915527344,0.0,0,HOLD,관망,0
2022-01-05,27.604000091552734,0.0,0,HOLD,관망,0
2022-01-06,28.17799949645996,0.0,0,HOLD,관망,0
2022-01-07,27.246999740600586,0.0,0,HOLD,관망,0
2022-01-10,27.399999618530273,0.0,0,HOLD,관망,0
2022-01-11,27.816999435424805,0.0,0,HOLD,관망,0
2022-01-12,27.999000549316406,0.0,0,HOLD,관망,0
2022-01-13,26.575000762939453,0.0,0,HOLD,관망,0
2022-01-14,26.941999435424805,0.0,0,HOLD,관망,0
2022-01-18,25.902999877929688,-0.1102390979361755,-1,HOLD,관망,0
2022-01-19,25.066999435424805,0.3742188251707257,1,BUY,매수,1
2022-01-20,24.149999618530273,0.3742188251707257,1,HOLD,관망,1
2022-01-21,23.374000549316406,0.09538869410686276,0,HOLD,관망,1
2022-01-24,23.371999740600586,0.3742188251707257,1,HOLD,관망,1
2022-01-25,22.323999404907227,0.3742188251707257,1,HOLD,관망,1
2022-01-26,22.77199935913086,0.3742188251707257,1,HOLD,관망,1
2022-01-27,21.944000244140625,0.3742188251707257,1,HOLD,관망,1
2022-01-28,22.84000015258789,0.0,0,HOLD,관망,1
2022-01-31,24.486000061035156,0.0,0,HOLD,관망,1
2022-02-01,24.63800048828125,0.0,0,HOLD,관망,1
2022-02-02,25.242000579833984,0.0,0,HOLD,관망,1
2022-02-03,23.947999954223633,0.0,0,HOLD,관망,1
2022-02-04,24.319000244140625,0.0,0,HOLD,관망,1
2022-02-07,24.72800064086914,0.0,0,HOLD,관망,1
2022-02-08,25.107999801635742,0.0,0,HOLD,관망,1
2022-02-09,26.704999923706055,0.0,0,HOLD,관망,1
2022-02-10,25.823999404907227,0.0,0,HOLD,관망,1
2022-02-11,23.948999404907227,0.0,0,HOLD,관망,1
2022-02-14,24.267000198364258,0.0,0,HOLD,관망,1
2022-02-15,26.4950008392334,0.0,0,HOLD,관망,1
2022-02-16,26.51099967956543,0.0,0,HOLD,관망,1
2022-02-17,24.506999969482422,0.0,0,HOLD,관망,1
2022-02-18,23.642000198364258,0.0,0,HOLD,관망,1
2022-02-22,23.389999389648438,0.0,0,HOLD,관망,1
2022-02-23,22.386999130249023,0.0,0,HOLD,관망,1
2022-02-24,23.74799919128418,0.0,0,HOLD,관망,1
2022-02-25,24.156999588012695,0.0,0,HOLD,관망,1
2022-02-28,24.385000228881836,0.0,0,HOLD,관망,1
2022-03-01,23.476999282836914,0.0,0,HOLD,관망,1
2022-03-02,24.219999313354492,0.0,0,HOLD,관망,1
2022-03-03,23.714000701904297,0.0,0,HOLD,관망,1
2022-03-04,22.93600082397461,0.0,0,HOLD,관망,1
2022-03-07,21.351999282836914,0.23671194582923596,1,HOLD,관망,1
2022-03-08,21.513999938964844,0.0,0,HOLD,관망,1
2022-03-09,23.013999938964844,0.0,0,HOLD,관망,1
2022-03-10,22.658000946044922,0.0,0,HOLD,관망,1
2022-03-11,22.100000381469727,0.0,0,HOLD,관망,1
2022-03-14,21.329999923706055,0.0,0,HOLD,관망,1
2022-03-15,22.972999572753906,0.0,0,HOLD,관망,1
2022-03-16,24.496000289916992,0.0,0,HOLD,관망,1
2022-03-17,24.766000747680664,0.0,0,HOLD,관망,1
2022-03-18,26.452999114990234,0.0,0,HOLD,관망,1
2022-03-21,26.733999252319336,0.0,0,HOLD,관망,1
2022-03-22,26.52400016784668,0.0,0,HOLD,관망,1
2022-03-23,25.634000778198242,0.0,0,HOLD,관망,1
2022-03-24,28.149999618530273,0.04211818523462693,0,HOLD,관망,1
2022-03-25,27.691999435424805,-0.1375068793414897,-1,SELL,매도,0
